Date,Payee,Amount,Category
2025-03-02,Cineplex,39.63,Entertainment
2025-03-03,Starbucks,146.61,Coffee
2025-03-04,Uber Eats,41.78,Food
2025-03-05,Swarovski,107.34,Shopping
2025-03-06,Shell Gas,76.13,Transportation
2025-03-07,Halibut house,95.04,Food
2025-03-08,Uber Eats,26.72,Food
2025-03-09,Pandora,122.66,Shopping
2025-03-10,Walmart,5.41,Groceries
2025-03-11,Cineplex,110.92,Entertainment
2025-03-12,Walmart,146.64,Groceries
2025-03-13,Tim Hortons,68.08,Coffee
2025-03-14,Pandora,129.99,Shopping
2025-03-15,Pasta House,33.85,Food
2025-03-16,Tim Hortons,34.26,Coffee
2025-03-17,Uber Eats,83.28,Food
2025-03-18,Swarovski,29.09,Shopping
2025-03-19,Halibut house,90.69,Food
2025-03-20,Halibut house,122.86,Food
2025-03-21,Pasta House,109.6,Food
2025-03-22,Amazon,133.85,Shopping
2025-03-23,Shell Gas,54.21,Transportation
2025-03-24,Cineplex,14.97,Entertainment
2025-03-25,Pasta House,134.28,Food
2025-03-26,Apple Store,47.18,Shopping
2025-03-27,Pandora,97.18,Shopping
2025-03-28,Shell Gas,72.82,Transportation
2025-03-29,Chungchun,54.62,Food
2025-03-30,Halibut house,132.54,Food
2025-03-31,Shell Gas,35.66,Transportation
2025-04-01,Amazon,115.24,Shopping
2025-04-02,Tim Hortons,99.77,Coffee
2025-04-03,Swarovski,88.88,Shopping
2025-04-04,Walmart,105.06,Groceries
2025-04-05,Netflix,102.8,Entertainment
2025-04-06,Uber,13.64,Transportation
2025-04-07,Cineplex,62.84,Entertainment
2025-04-08,Apple Store,115.94,Shopping
2025-04-09,Halibut house,34.55,Food
2025-04-10,Tim Hortons,38.96,Coffee
2025-04-11,Pasta House,79.25,Food
2025-04-12,Uber,88.05,Transportation
2025-04-13,Pasta House,39.21,Food
2025-04-14,Uber Eats,106.99,Food
2025-04-15,Shell Gas,27.2,Transportation
2025-04-16,Starbucks,98.01,Coffee
2025-04-17,Uber Eats,49.81,Food
2025-04-18,Uber Eats,10.57,Food
